source,site_name,developer,country,longitude,latitude,status,date_commissioned,customers,geometry,site_type
PowerGen,Bandajuma Sowa,PowerGen,Sierra Leone,-11.652,7.5724,Operating,2019-10-25,0,POINT (-11.652 7.5724),PowerGen
PowerGen,Bandajuma Yawei,PowerGen,Sierra Leone,-10.8485,8.3099,Operating,2021-04-18,0,POINT (-10.8485 8.3099),PowerGen
PowerGen,Baoma,PowerGen,Sierra Leone,-11.3029,7.5521,Operating,2021-04-17,0,POINT (-11.3029 7.5521),PowerGen
PowerGen,Baomahun,PowerGen,Sierra Leone,-11.6682,8.416,Operating,2021-05-30,0,POINT (-11.6682 8.416),PowerGen
PowerGen,Buedu,PowerGen,Sierra Leone,-12.1608,7.8158,Operating,2022-05-21,0,POINT (-12.1608 7.8158),PowerGen
PowerGen,Bumpeh,PowerGen,Sierra Leone,-11.9033,7.8895,Operating,2019-07-07,0,POINT (-11.9033 7.8895),PowerGen
PowerGen,Dia,PowerGen,Sierra Leone,-10.4093,8.3849,Operating,2019-10-20,0,POINT (-10.4093 8.3849),PowerGen
PowerGen,Futa Pejeh,PowerGen,Sierra Leone,-11.574,7.5611,Operating,2019-10-27,0,POINT (-11.574 7.5611),PowerGen
PowerGen,Gandorhun,PowerGen,Sierra Leone,-10.8668,8.4365,Operating,2019-10-27,0,POINT (-10.8668 8.4365),PowerGen
PowerGen,Gbap,PowerGen,Sierra Leone,-12.2614,7.3785,Operating,2019-11-10,0,POINT (-12.2614 7.3785),PowerGen
PowerGen,Gboijibu,PowerGen,Sierra Leone,-11.3413,8.193,Operating,2021-06-06,0,POINT (-11.3413 8.193),PowerGen
PowerGen,Gegbwema,PowerGen,Sierra Leone,-11.1535,7.5794,Operating,2021-04-18,0,POINT (-11.1535 7.5794),PowerGen
PowerGen,Gorahun,PowerGen,Sierra Leone,-11.239,7.4652,Operating,2021-04-18,0,POINT (-11.239 7.4652),PowerGen
PowerGen,Jimmi Gbagbo,PowerGen,Sierra Leone,-11.816,7.6065,Operating,2020-01-01,0,POINT (-11.816 7.6065),PowerGen
PowerGen,Jojoima,PowerGen,Sierra Leone,-10.7866,7.8759,Operating,2021-06-06,0,POINT (-10.7866 7.8759),PowerGen
PowerGen,Kainkordu,PowerGen,Sierra Leone,-10.7208,8.6171,Operating,2019-11-03,0,POINT (-10.7208 8.6171),PowerGen
PowerGen,Kaordu,PowerGen,Sierra Leone,-10.5829,8.615,Operating,2019-11-10,0,POINT (-10.5829 8.615),PowerGen
PowerGen,Kayima,PowerGen,Sierra Leone,-11.16,8.8909,Operating,2020-06-25,0,POINT (-11.16 8.8909),PowerGen
PowerGen,Koindu,PowerGen,Sierra Leone,-11.1816,8.2102,Operating,2022-05-21,0,POINT (-11.1816 8.2102),PowerGen
PowerGen,Kombayendeh,PowerGen,Sierra Leone,-10.7096,8.7838,Operating,2019-11-03,0,POINT (-10.7096 8.7838),PowerGen
PowerGen,Koribondo,PowerGen,Sierra Leone,-11.6928,7.71,Operating,2019-10-27,0,POINT (-11.6928 7.71),PowerGen
PowerGen,Madina,PowerGen,Sierra Leone,-11.9491,7.4639,Operating,2019-10-27,0,POINT (-11.9491 7.4639),PowerGen
PowerGen,Mano Gbongeima,PowerGen,Sierra Leone,-11.7552,7.1552,Operating,2020-01-26,0,POINT (-11.7552 7.1552),PowerGen
PowerGen,Manowa,PowerGen,Sierra Leone,-10.7479,8.1726,Operating,2021-07-04,0,POINT (-10.7479 8.1726),PowerGen
PowerGen,Manowa Junction,PowerGen,Sierra Leone,-9.6609,8.3814,Operating,2022-06-04,0,POINT (-9.6609 8.3814),PowerGen
PowerGen,Mobai,PowerGen,Sierra Leone,-10.753,7.9925,Operating,2021-07-04,0,POINT (-10.753 7.9925),PowerGen
PowerGen,Mogbwemo,PowerGen,Sierra Leone,-12.3083,7.7626,Operating,2022-08-02,0,POINT (-12.3083 7.7626),PowerGen
PowerGen,Moriba Town,PowerGen,Sierra Leone,-12.2975,7.7912,Operating,2022-08-13,0,POINT (-12.2975 7.7912),PowerGen
PowerGen,Njagbwema,PowerGen,Sierra Leone,-10.8235,8.6277,Operating,2020-10-20,0,POINT (-10.8235 8.6277),PowerGen
PowerGen,Nyandehun,PowerGen,Sierra Leone,-10.4818,8.2032,Operating,2022-02-12,0,POINT (-10.4818 8.2032),PowerGen
PowerGen,Pendembu,PowerGen,Sierra Leone,-11.7661,8.5266,Operating,2022-06-04,0,POINT (-11.7661 8.5266),PowerGen
PowerGen,Sahn,PowerGen,Sierra Leone,-11.8442,7.4335,Operating,2019-07-04,0,POINT (-11.8442 7.4335),PowerGen
PowerGen,Sandaru,PowerGen,Sierra Leone,-10.7074,8.3921,Operating,2020-10-20,0,POINT (-10.7074 8.3921),PowerGen
PowerGen,Sulima,PowerGen,Sierra Leone,-11.5757,6.969,Operating,2021-05-30,0,POINT (-11.5757 6.969),PowerGen
PowerGen,Sumbuya,PowerGen,Sierra Leone,-11.9622,7.6484,Operating,2021-04-25,0,POINT (-11.9622 7.6484),PowerGen
PowerGen,Tihun,PowerGen,Sierra Leone,-12.0895,7.5663,Operating,2020-10-20,0,POINT (-12.0895 7.5663),PowerGen
PowerGen,Tikonko,PowerGen,Sierra Leone,-11.7837,7.8811,Operating,2019-10-27,0,POINT (-11.7837 7.8811),PowerGen
PowerGen,Tombodu,PowerGen,Sierra Leone,-11.0122,8.7021,Operating,2019-11-10,0,POINT (-11.0122 8.7021),PowerGen
